ddc,keyword,iri,term_type
https://id.oclc.org/worldcat/ddc/E3v6cFp7Gy38PVp4yKTpQp3GhG,001.433,Case study method,alt
https://id.oclc.org/worldcat/ddc/E3v6cFp7Gy38PVp4yKTpQp3GhG,001.433,Survey research,alt
https://id.oclc.org/worldcat/ddc/E33J78HF79rXY4KxVhtxtGbVr7,001.9,Fringe science,alt
https://id.oclc.org/worldcat/ddc/E33J78HF79rXY4KxVhtxtGbVr7,001.9,Pseudoscience,alt
https://id.oclc.org/worldcat/ddc/E33J78HF79rXY4KxVhtxtGbVr7,001.9,Alternative theories,alt
https://id.oclc.org/worldcat/ddc/E3qTPPpCwxHmFxPj4JTkqP6f7w,001.94,Unsolved mysteries,alt
https://id.oclc.org/worldcat/ddc/E3qTPPpCwxHmFxPj4JTkqP6f7w,001.94,Enigmas,alt
https://id.oclc.org/worldcat/ddc/E3qTPPpCwxHmFxPj4JTkqP6f7w,001.94,The unexplained,alt
https://id.oclc.org/worldcat/ddc/E3q9gVJyKGMjXMvqMjRxtBqyT3,001.944,Cryptozoology,alt
https://id.oclc.org/worldcat/ddc/E3q9gVJyKGMjXMvqMjRxtBqyT3,001.944,Cryptids,alt
https://id.oclc.org/worldcat/ddc/E3q9gVJyKGMjXMvqMjRxtBqyT3,001.944,Mythical creatures,alt
https://id.oclc.org/worldcat/ddc/E3CtDJHKT96YccYdQCkt4XDWMK,001.95,Fake news,alt
https://id.oclc.org/worldcat/ddc/E3CtDJHKT96YccYdQCkt4XDWMK,001.95,Misinformation,alt
https://id.oclc.org/worldcat/ddc/E3CtDJHKT96YccYdQCkt4XDWMK,001.95,Disinformation,alt
https://id.oclc.org/worldcat/ddc/E3CtDJHKT96YccYdQCkt4XDWMK,001.95,Scams,alt
https://id.oclc.org/worldcat/ddc/E3DJTxHDXyQGRfR8p43PT6drtY,001.98,Conspiracism,alt
https://id.oclc.org/worldcat/ddc/E3DJTxHDXyQGRfR8p43PT6drtY,001.98,Cover-ups,alt
https://id.oclc.org/worldcat/ddc/E3CtmgXDd8wJdkcXKcffM4M3qm,002,Publishing,alt
https://id.oclc.org/worldcat/ddc/E3CtmgXDd8wJdkcXKcffM4M3qm,002,Codex,alt
https://id.oclc.org/worldcat/ddc/E3CtmgXDd8wJdkcXKcffM4M3qm,002,Printed matter,alt
https://id.oclc.org/worldcat/ddc/E3qKdmdYFCBtjkqX8pX7hkwKqB,003,Systems theory,alt
https://id.oclc.org/worldcat/ddc/E3qKdmdYFCBtjkqX8pX7hkwKqB,003,Complex systems,alt
https://id.oclc.org/worldcat/ddc/E3qKdmdYFCBtjkqX8pX7hkwKqB,003,Frameworks,alt
https://id.oclc.org/worldcat/ddc/E3FVcCk33PyRYHcmFCFg8YrgPw,003.2,Prediction,alt
https://id.oclc.org/worldcat/ddc/E3FVcCk33PyRYHcmFCFg8YrgPw,003.2,Future studies,alt
https://id.oclc.org/worldcat/ddc/E3FVcCk33PyRYHcmFCFg8YrgPw,003.2,Trend analysis,alt
https://id.oclc.org/worldcat/ddc/E3FVcCk33PyRYHcmFCFg8YrgPw,003.2,Predictive modeling,alt
https://id.oclc.org/worldcat/ddc/E43dCrh4CHgFHQjDxRkxM4DCYg,003.3,Computer simulation,alt
https://id.oclc.org/worldcat/ddc/E43dCrh4CHgFHQjDxRkxM4DCYg,003.3,Virtual models,alt
https://id.oclc.org/worldcat/ddc/E43dCrh4CHgFHQjDxRkxM4DCYg,003.3,Computational modeling,alt
https://id.oclc.org/worldcat/ddc/E43dCrh4CHgFHQjDxRkxM4DCYg,003.3,Digital twins,alt
https://id.oclc.org/worldcat/ddc/E33TpcQ67GRRktJRHPbv4yxTqg,003.5,Cybernetics,alt
https://id.oclc.org/worldcat/ddc/E3YpHVcwJ8JpChrvfbJPYvGTmD,003.54,Communication theory,alt
https://id.oclc.org/worldcat/ddc/E3crFxr84MQkDt9mHBYTvbkPCB,004,Computing,alt
https://id.oclc.org/worldcat/ddc/E3crFxr84MQkDt9mHBYTvbkPCB,004,Information technology,alt
https://id.oclc.org/worldcat/ddc/E3crFxr84MQkDt9mHBYTvbkPCB,004,IT,alt
https://id.oclc.org/worldcat/ddc/E3crFxr84MQkDt9mHBYTvbkPCB,004,Informatics,alt
https://id.oclc.org/worldcat/ddc/E3cRg3W6kXwR9cyKm49fpQmh8D,004.11,High-performance computing,alt
https://id.oclc.org/worldcat/ddc/E3cRg3W6kXwR9cyKm49fpQmh8D,004.11,HPC,alt
https://id.oclc.org/worldcat/ddc/E3cRg3W6kXwR9cyKm49fpQmh8D,004.11,Supercomputing,alt
https://id.oclc.org/worldcat/ddc/E3PC6XTbrtpryPD3b3MqcHBDYV,004.22,System architecture,alt
https://id.oclc.org/worldcat/ddc/E3PC6XTbrtpryPD3b3MqcHBDYV,004.22,Hardware design,alt
https://id.oclc.org/worldcat/ddc/E3PC6XTbrtpryPD3b3MqcHBDYV,004.22,Instruction set architecture,alt
https://id.oclc.org/worldcat/ddc/E3cgbbbwfHR8jqpgJJT8F3HbJ3,004.24,Benchmarking,alt
https://id.oclc.org/worldcat/ddc/E3cgbbbwfHR8jqpgJJT8F3HbJ3,004.24,System performance,alt
https://id.oclc.org/worldcat/ddc/E3XqhBhFxxxG8YHCqhWTGxQFwQ,004.35,Parallel processing,alt
https://id.oclc.org/worldcat/ddc/E3XqhBhFxxxG8YHCqhWTGxQFwQ,004.35,Multi-core processing,alt
https://id.oclc.org/worldcat/ddc/E3XqhBhFxxxG8YHCqhWTGxQFwQ,004.35,Parallel computing,alt
https://id.oclc.org/worldcat/ddc/E3XqhBhFxxxG8YHCqhWTGxQFwQ,004.35,Concurrent computing,alt
https://id.oclc.org/worldcat/ddc/E4bbXhtJwbRYy8hwy8GkHt4TVR,004.36,Distributed computing,alt
https://id.oclc.org/worldcat/ddc/E4bbXhtJwbRYy8hwy8GkHt4TVR,004.36,Cloud computing,alt
https://id.oclc.org/worldcat/ddc/E4bbXhtJwbRYy8hwy8GkHt4TVR,004.36,Grid computing,alt
https://id.oclc.org/worldcat/ddc/E47QJBw7Qf89rjP8879fdJPXMj,004.5,Data storage,alt
https://id.oclc.org/worldcat/ddc/E47QJBw7Qf89rjP8879fdJPXMj,004.5,Memory,alt
https://id.oclc.org/worldcat/ddc/E47QJBw7Qf89rjP8879fdJPXMj,004.5,Computer memory,alt
https://id.oclc.org/worldcat/ddc/E47QJBw7Qf89rjP8879fdJPXMj,004.5,Digital storage,alt
https://id.oclc.org/worldcat/ddc/E3Wgrr4PKGwVhk3CvDhmYPTQcy,004.53,RAM,alt
https://id.oclc.org/worldcat/ddc/E3Wgrr4PKGwVhk3CvDhmYPTQcy,004.53,Random-access memory,alt
https://id.oclc.org/worldcat/ddc/E3Wgrr4PKGwVhk3CvDhmYPTQcy,004.53,Primary storage,alt
https://id.oclc.org/worldcat/ddc/E3Wgrr4PKGwVhk3CvDhmYPTQcy,004.53,Volatile memory,alt
https://id.oclc.org/worldcat/ddc/E3JTBQtbcK43CmXQC4VgpbJwQF,004.56,Hard drives,alt
https://id.oclc.org/worldcat/ddc/E3JTBQtbcK43CmXQC4VgpbJwQF,004.56,SSD,alt
https://id.oclc.org/worldcat/ddc/E3JTBQtbcK43CmXQC4VgpbJwQF,004.56,Secondary storage,alt
https://id.oclc.org/worldcat/ddc/E3JTBQtbcK43CmXQC4VgpbJwQF,004.56,Non-volatile memory,alt
https://id.oclc.org/worldcat/ddc/E3JTBQtbcK43CmXQC4VgpbJwQF,004.56,Mass storage,alt
https://id.oclc.org/worldcat/ddc/E3399p6b9CRwVdBcqVv7FhXtk6,004.6,Computer networking,alt
https://id.oclc.org/worldcat/ddc/E3399p6b9CRwVdBcqVv7FhXtk6,004.6,Data communication,alt
https://id.oclc.org/worldcat/ddc/E3399p6b9CRwVdBcqVv7FhXtk6,004.6,Telecommunications,alt
https://id.oclc.org/worldcat/ddc/E3399p6b9CRwVdBcqVv7FhXtk6,004.6,Connectivity,alt
https://id.oclc.org/worldcat/ddc/E368wPvG94dWQmJVr7xtXJ7BtB,004.652,P2P networks,alt
https://id.oclc.org/worldcat/ddc/E368wPvG94dWQmJVr7xtXJ7BtB,004.652,File sharing networks,alt
https://id.oclc.org/worldcat/ddc/E368wPvG94dWQmJVr7xtXJ7BtB,004.652,Decentralized networks,alt
https://id.oclc.org/worldcat/ddc/E3yGFCpWbfMGGDC8DxVtrqpTp8,004.678,The Net,alt
https://id.oclc.org/worldcat/ddc/E3yGFCpWbfMGGDC8DxVtrqpTp8,004.678,Cyberspace,alt
https://id.oclc.org/worldcat/ddc/E3yGFCpWbfMGGDC8DxVtrqpTp8,004.678,Information Superhighway,alt
https://id.oclc.org/worldcat/ddc/E3yGFCpWbfMGGDC8DxVtrqpTp8,004.678,Online,alt
https://id.oclc.org/worldcat/ddc/E36BtXBhmRW4rbmHFxpkTv9W3M,004.692,Email,alt
https://id.oclc.org/worldcat/ddc/E36BtXBhmRW4rbmHFxpkTv9W3M,004.692,E-mail,alt
https://id.oclc.org/worldcat/ddc/E36BtXBhmRW4rbmHFxpkTv9W3M,004.692,Digital mail,alt
https://id.oclc.org/worldcat/ddc/E36BtXBhmRW4rbmHFxpkTv9W3M,004.692,Messaging,alt
https://id.oclc.org/worldcat/ddc/E34Hh7CxKthx3XkJg8FVhctGTk,004.7,Computer accessories,alt
https://id.oclc.org/worldcat/ddc/E34Hh7CxKthx3XkJg8FVhctGTk,004.7,Input-output devices,alt
https://id.oclc.org/worldcat/ddc/E34Hh7CxKthx3XkJg8FVhctGTk,004.7,External devices,alt
https://id.oclc.org/worldcat/ddc/E34Hh7CxKthx3XkJg8FVhctGTk,004.7,Hardware accessories,alt
https://id.oclc.org/worldcat/ddc/E3fBwkTjp89TW8cXVFMddRqqDT,005,Computer programming,alt
https://id.oclc.org/worldcat/ddc/E3fBwkTjp89TW8cXVFMddRqqDT,005,Software engineering,alt
https://id.oclc.org/worldcat/ddc/E3fBwkTjp89TW8cXVFMddRqqDT,005,Data management,alt
https://id.oclc.org/worldcat/ddc/E3fBwkTjp89TW8cXVFMddRqqDT,005,Cybersecurity,alt
https://id.oclc.org/worldcat/ddc/E3jXFdk4KYFKwJQWKPH9rDFJPB,005.1,Programming,alt
https://id.oclc.org/worldcat/ddc/E3jXFdk4KYFKwJQWKPH9rDFJPB,005.1,Coding,alt
https://id.oclc.org/worldcat/ddc/E3jXFdk4KYFKwJQWKPH9rDFJPB,005.1,Software engineering,alt
https://id.oclc.org/worldcat/ddc/E3jXFdk4KYFKwJQWKPH9rDFJPB,005.1,Application development,alt
https://id.oclc.org/worldcat/ddc/E3jXFdk4KYFKwJQWKPH9rDFJPB,005.1,Dev,alt
https://id.oclc.org/worldcat/ddc/E3rxwH8krc6v9RkC4BVqHqDYyR,005.10285,CASE tools,alt
https://id.oclc.org/worldcat/ddc/E3MJH34TYWYtbTxJcXf4kGJGPX,005.1092,Software developers,alt
https://id.oclc.org/worldcat/ddc/E3MJH34TYWYtbTxJcXf4kGJGPX,005.1092,Programmers,alt
https://id.oclc.org/worldcat/ddc/E3MJH34TYWYtbTxJcXf4kGJGPX,005.1092,Coders,alt
https://id.oclc.org/worldcat/ddc/E3MJH34TYWYtbTxJcXf4kGJGPX,005.1092,Software engineers,alt
https://id.oclc.org/worldcat/ddc/E3tVxjQjgt7VkvxcvDQcTbP4Tr,005.117,OOP,alt
https://id.oclc.org/worldcat/ddc/E3f7ffMCtxbPqx6hhYM9tWBcjv,005.118,Visual coding,alt
https://id.oclc.org/worldcat/ddc/E3f7ffMCtxbPqx6hhYM9tWBcjv,005.118,No-code development,alt
https://id.oclc.org/worldcat/ddc/E3f7ffMCtxbPqx6hhYM9tWBcjv,005.118,Low-code development,alt
https://id.oclc.org/worldcat/ddc/E3f7ffMCtxbPqx6hhYM9tWBcjv,005.118,VPL,alt
https://id.oclc.org/worldcat/ddc/E4btmxKMtFKF8KyrDkrhqvCkQR,005.13,Coding,alt
https://id.oclc.org/worldcat/ddc/E4btmxKMtFKF8KyrDkrhqvCkQR,005.13,Scripting,alt
https://id.oclc.org/worldcat/ddc/E3b3VkwRk8hWvQcYGGd7hMWfg4,005.13092,Coders,alt
https://id.oclc.org/worldcat/ddc/E3b3VkwRk8hWvQcYGGd7hMWfg4,005.13092,Developers,alt
https://id.oclc.org/worldcat/ddc/E3b3VkwRk8hWvQcYGGd7hMWfg4,005.13092,Software engineers,alt
https://id.oclc.org/worldcat/ddc/E3mTC4qqt3fTwTdq6YvgwDJHVK,005.133,Coding languages,alt
https://id.oclc.org/worldcat/ddc/E3mTC4qqt3fTwTdq6YvgwDJHVK,005.133,Programming syntax,alt
https://id.oclc.org/worldcat/ddc/E3mTC4qqt3fTwTdq6YvgwDJHVK,005.133,Computer languages,alt
https://id.oclc.org/worldcat/ddc/E46pM7mwhdCjy43hf3xw7YQvkV,005.14,Software testing,alt
https://id.oclc.org/worldcat/ddc/E46pM7mwhdCjy43hf3xw7YQvkV,005.14,Quality assurance,alt
https://id.oclc.org/worldcat/ddc/E46pM7mwhdCjy43hf3xw7YQvkV,005.14,QA,alt
https://id.oclc.org/worldcat/ddc/E46pM7mwhdCjy43hf3xw7YQvkV,005.14,Code review,alt
https://id.oclc.org/worldcat/ddc/E44XQPgGbB3gXbhgxbK8Dwck37,005.15,Technical writing,alt
https://id.oclc.org/worldcat/ddc/E44XQPgGbB3gXbhgxbK8Dwck37,005.15,API documentation,alt
https://id.oclc.org/worldcat/ddc/E44XQPgGbB3gXbhgxbK8Dwck37,005.15,Code documentation,alt
https://id.oclc.org/worldcat/ddc/E44XQPgGbB3gXbhgxbK8Dwck37,005.15,User manuals,alt
https://id.oclc.org/worldcat/ddc/E49k6vr3b9tJv77HM8V9KJ7qQv,005.16,Code maintenance,alt
https://id.oclc.org/worldcat/ddc/E49k6vr3b9tJv77HM8V9KJ7qQv,005.16,Legacy code,alt
https://id.oclc.org/worldcat/ddc/E49k6vr3b9tJv77HM8V9KJ7qQv,005.16,Refactoring,alt
https://id.oclc.org/worldcat/ddc/E49k6vr3b9tJv77HM8V9KJ7qQv,005.16,Patching,alt
https://id.oclc.org/worldcat/ddc/E3RhkRC4bdYDFXW9yVWJhgpVqG,005.166,Code refactoring,alt
https://id.oclc.org/worldcat/ddc/E3RhkRC4bdYDFXW9yVWJhgpVqG,005.166,Software modernization,alt
https://id.oclc.org/worldcat/ddc/E3RhkRC4bdYDFXW9yVWJhgpVqG,005.166,Reverse engineering,alt
https://id.oclc.org/worldcat/ddc/E36D88ccYjt6RgctKX488gw9Wh,005.25,Mobile app development,alt
https://id.oclc.org/worldcat/ddc/E36D88ccYjt6RgctKX488gw9Wh,005.25,iOS development,alt
https://id.oclc.org/worldcat/ddc/E36D88ccYjt6RgctKX488gw9Wh,005.25,Android development,alt
https://id.oclc.org/worldcat/ddc/E36D88ccYjt6RgctKX488gw9Wh,005.25,App development,alt
https://id.oclc.org/worldcat/ddc/E3DVbbmJmvDYKMWqpxHm6ttxPj,005.26,Desktop application development,alt
https://id.oclc.org/worldcat/ddc/E3DVbbmJmvDYKMWqpxHm6ttxPj,005.26,PC software development,alt
https://id.oclc.org/worldcat/ddc/E3DVbbmJmvDYKMWqpxHm6ttxPj,005.26,Desktop apps,alt
https://id.oclc.org/worldcat/ddc/E3xdp8qPXxTqbhdXX39Hj8qwfj,005.3,Applications,alt
https://id.oclc.org/worldcat/ddc/E3xdp8qPXxTqbhdXX39Hj8qwfj,005.3,Apps,alt
https://id.oclc.org/worldcat/ddc/E3xdp8qPXxTqbhdXX39Hj8qwfj,005.3,Programs,alt
https://id.oclc.org/worldcat/ddc/E3xdp8qPXxTqbhdXX39Hj8qwfj,005.3,Computer programs,alt
https://id.oclc.org/worldcat/ddc/E3b7Hxw4b8dgvBCtbd33DFxGv3,005.35,Mobile apps,alt
https://id.oclc.org/worldcat/ddc/E3b7Hxw4b8dgvBCtbd33DFxGv3,005.35,Smartphone apps,alt
https://id.oclc.org/worldcat/ddc/E3b7Hxw4b8dgvBCtbd33DFxGv3,005.35,Tablet apps,alt
https://id.oclc.org/worldcat/ddc/E46vGdwV67hWcHRw48GFMqGyy7,005.36,Desktop software,alt
https://id.oclc.org/worldcat/ddc/E46vGdwV67hWcHRw48GFMqGyy7,005.36,PC programs,alt
https://id.oclc.org/worldcat/ddc/E46vGdwV67hWcHRw48GFMqGyy7,005.36,Desktop applications,alt
https://id.oclc.org/worldcat/ddc/E46vGdwV67hWcHRw48GFMqGyy7,005.36,PC apps,alt
https://id.oclc.org/worldcat/ddc/E3CxDM9D9wwGqqfcVbp9PKbMwF,005.4,Operating system development,alt
https://id.oclc.org/worldcat/ddc/E3CxDM9D9wwGqqfcVbp9PKbMwF,005.4,Kernel programming,alt
https://id.oclc.org/worldcat/ddc/E3CxDM9D9wwGqqfcVbp9PKbMwF,005.4,Low-level programming,alt
https://id.oclc.org/worldcat/ddc/E3CxDM9D9wwGqqfcVbp9PKbMwF,005.4,System software engineering,alt
https://id.oclc.org/worldcat/ddc/E3w4JWxKpY7GQ8MCPMHDC7KKgH,005.42,Low-level coding,alt
https://id.oclc.org/worldcat/ddc/E3w4JWxKpY7GQ8MCPMHDC7KKgH,005.42,Kernel development,alt
https://id.oclc.org/worldcat/ddc/E47PvmfBYGPpHQYwqxFf3c3JJH,005.428,UI development,alt
https://id.oclc.org/worldcat/ddc/E47PvmfBYGPpHQYwqxFf3c3JJH,005.428,UI design,alt
https://id.oclc.org/worldcat/ddc/E47PvmfBYGPpHQYwqxFf3c3JJH,005.428,User interface engineering,alt
https://id.oclc.org/worldcat/ddc/E47PvmfBYGPpHQYwqxFf3c3JJH,005.428,UI/UX development,alt
https://id.oclc.org/worldcat/ddc/E3ht9RRqPr3xR4mT78gWmPg7kg,005.43,Operating system,alt
https://id.oclc.org/worldcat/ddc/E3ht9RRqPr3xR4mT78gWmPg7kg,005.43,Firmware,alt
https://id.oclc.org/worldcat/ddc/E3ht9RRqPr3xR4mT78gWmPg7kg,005.43,Device drivers,alt
https://id.oclc.org/worldcat/ddc/E3ht9RRqPr3xR4mT78gWmPg7kg,005.43,Kernel,alt
https://id.oclc.org/worldcat/ddc/E3ht9RRqPr3xR4mT78gWmPg7kg,005.43,BIOS,alt
https://id.oclc.org/worldcat/ddc/E468dKX7M8x3WWFwF8DCTgxGjm,005.432,Windows,alt
https://id.oclc.org/worldcat/ddc/E468dKX7M8x3WWFwF8DCTgxGjm,005.432,macOS,alt
https://id.oclc.org/worldcat/ddc/E468dKX7M8x3WWFwF8DCTgxGjm,005.432,Linux,alt
https://id.oclc.org/worldcat/ddc/E468dKX7M8x3WWFwF8DCTgxGjm,005.432,iOS,alt
https://id.oclc.org/worldcat/ddc/E468dKX7M8x3WWFwF8DCTgxGjm,005.432,Android,alt
https://id.oclc.org/worldcat/ddc/E3kThvWbWQmrFHdR38hMyF44Hh,005.437,UI,alt
https://id.oclc.org/worldcat/ddc/E3kThvWbWQmrFHdR38hMyF44Hh,005.437,User experience,alt
https://id.oclc.org/worldcat/ddc/E3kThvWbWQmrFHdR38hMyF44Hh,005.437,UX,alt
https://id.oclc.org/worldcat/ddc/E3kThvWbWQmrFHdR38hMyF44Hh,005.437,Human-computer interaction,alt
https://id.oclc.org/worldcat/ddc/E3kThvWbWQmrFHdR38hMyF44Hh,005.437,HCI,alt
https://id.oclc.org/worldcat/ddc/E34PVVffbDWj6bq3j6KdHMdqjB,005.445,Mobile OS,alt
https://id.oclc.org/worldcat/ddc/E34PVVffbDWj6bq3j6KdHMdqjB,005.445,iOS,alt
https://id.oclc.org/worldcat/ddc/E34PVVffbDWj6bq3j6KdHMdqjB,005.445,Android,alt
https://id.oclc.org/worldcat/ddc/E34PVVffbDWj6bq3j6KdHMdqjB,005.445,Smartphone OS,alt
https://id.oclc.org/worldcat/ddc/E4dk6qCvt69Wcjm8x6b6ktJKjh,005.45,Compiler,alt
https://id.oclc.org/worldcat/ddc/E4dk6qCvt69Wcjm8x6b6ktJKjh,005.45,Interpreter,alt
https://id.oclc.org/worldcat/ddc/E4dk6qCvt69Wcjm8x6b6ktJKjh,005.45,Transpiler,alt
https://id.oclc.org/worldcat/ddc/E3CwCCP88qXhhqmRb9dMrxghdX,005.5,Productivity software,alt
https://id.oclc.org/worldcat/ddc/E3CwCCP88qXhhqmRb9dMrxghdX,005.5,Office software,alt
https://id.oclc.org/worldcat/ddc/E3CwCCP88qXhhqmRb9dMrxghdX,005.5,Business software,alt
https://id.oclc.org/worldcat/ddc/E46xMfVBwBywxvY43rJKwxtT76,005.52,Word processors,alt
https://id.oclc.org/worldcat/ddc/E46xMfVBwBywxvY43rJKwxtT76,005.52,Document editors,alt
https://id.oclc.org/worldcat/ddc/E46xMfVBwBywxvY43rJKwxtT76,005.52,Writing software,alt
https://id.oclc.org/worldcat/ddc/E49mgd9Mp38Gv7MQjKP4VDCtYx,005.54,Spreadsheet software,alt
https://id.oclc.org/worldcat/ddc/E49mgd9Mp38Gv7MQjKP4VDCtYx,005.54,Calculation software,alt
https://id.oclc.org/worldcat/ddc/E3BY4QJDWCmFHbY3GwybBBvFKP,005.57,PIMs,alt
https://id.oclc.org/worldcat/ddc/E3BY4QJDWCmFHbY3GwybBBvFKP,005.57,Digital organizers,alt
https://id.oclc.org/worldcat/ddc/E3CYQRxbCGrDdxdHWjBv4kTkWF,005.58,Slideshow software,alt
https://id.oclc.org/worldcat/ddc/E3CYQRxbCGrDdxdHWjBv4kTkWF,005.58,Presentation tools,alt
https://id.oclc.org/worldcat/ddc/E3CYQRxbCGrDdxdHWjBv4kTkWF,005.58,Slide deck software,alt
https://id.oclc.org/worldcat/ddc/E3jXkx4v6hVpBmQhdbB4j8dPdT,005.7,Big Data,alt
https://id.oclc.org/worldcat/ddc/E3jXkx4v6hVpBmQhdbB4j8dPdT,005.7,Data management,alt
https://id.oclc.org/worldcat/ddc/E3jXkx4v6hVpBmQhdbB4j8dPdT,005.7,Digital data,alt
https://id.oclc.org/worldcat/ddc/E46ChpfrhrPcpBtDPDqXcXk6yM,005.72,Data formatting,alt
https://id.oclc.org/worldcat/ddc/E46ChpfrhrPcpBtDPDqXcXk6yM,005.72,Data wrangling,alt
https://id.oclc.org/worldcat/ddc/E46ChpfrhrPcpBtDPDqXcXk6yM,005.72,Data sanitization,alt
https://id.oclc.org/worldcat/ddc/E3RYpJqXYMw4MYWFXjThVB7y9m,005.73,Arrays,alt
https://id.oclc.org/worldcat/ddc/E3RYpJqXYMw4MYWFXjThVB7y9m,005.73,Linked lists,alt
https://id.oclc.org/worldcat/ddc/E3RYpJqXYMw4MYWFXjThVB7y9m,005.73,Stacks,alt
https://id.oclc.org/worldcat/ddc/E3RYpJqXYMw4MYWFXjThVB7y9m,005.73,Queues,alt
https://id.oclc.org/worldcat/ddc/E3RYpJqXYMw4MYWFXjThVB7y9m,005.73,Hash tables,alt
https://id.oclc.org/worldcat/ddc/E3fwxqFXHT9FBMRfKt6VCqFH6J,005.74,DBMS,alt
https://id.oclc.org/worldcat/ddc/E3fwxqFXHT9FBMRfKt6VCqFH6J,005.74,Database systems,alt
https://id.oclc.org/worldcat/ddc/E3fwxqFXHT9FBMRfKt6VCqFH6J,005.74,Data storage systems,alt
https://id.oclc.org/worldcat/ddc/E3fwxqFXHT9FBMRfKt6VCqFH6J,005.74,Information systems,alt
https://id.oclc.org/worldcat/ddc/E3h6g9Kw7cYmhrmpCh7HQT9DRM,005.745,Data warehouses,alt
https://id.oclc.org/worldcat/ddc/E3h6g9Kw7cYmhrmpCh7HQT9DRM,005.745,OLAP,alt
https://id.oclc.org/worldcat/ddc/E3h6g9Kw7cYmhrmpCh7HQT9DRM,005.745,Online analytical processing,alt
https://id.oclc.org/worldcat/ddc/E3Vhk9tmwmQkQGbYVx3K77KR86,005.756,SQL databases,alt
https://id.oclc.org/worldcat/ddc/E3Vhk9tmwmQkQGbYVx3K77KR86,005.756,RDBMS,alt
https://id.oclc.org/worldcat/ddc/E3Vhk9tmwmQkQGbYVx3K77KR86,005.756,Structured data,alt
https://id.oclc.org/worldcat/ddc/E3xGXYJd4Hr3qPyDW9dmKjWMJC,005.758,NoSQL,alt
https://id.oclc.org/worldcat/ddc/E3xGXYJd4Hr3qPyDW9dmKjWMJC,005.758,Distributed file systems,alt
https://id.oclc.org/worldcat/ddc/E3xGXYJd4Hr3qPyDW9dmKjWMJC,005.758,DFS,alt
https://id.oclc.org/worldcat/ddc/E3DMQmGJH9Mrgmxd9DXhBm7RPf,005.8,InfoSec,alt
https://id.oclc.org/worldcat/ddc/E3DMQmGJH9Mrgmxd9DXhBm7RPf,005.8,Information security,alt
https://id.oclc.org/worldcat/ddc/E3DMQmGJH9Mrgmxd9DXhBm7RPf,005.8,Cyber defense,alt
